"celltype","IgAN","control","p","padj"
"Central memory CD8 T cell",0.154233753135305,0.0572392654976979,2.28793372148173e-05,0.000640621442014886
"Activated B cell",0.071811813012451,-0.0717426283638097,0.000379047478852064,0.00530666470392889
"MDSC",0.152950100382079,0.0743897087332728,0.00429879297596525,0.0337659275748053
"Eosinophil",0.035632255422488,0.0964294150334204,0.0048237039392579,0.0337659275748053
"Natural killer cell",0.154969135713156,0.121767142726609,0.0110000664327071,0.0555313247203995
"Macrophage",0.0887032222268426,0.0371002618348677,0.0118995695829427,0.0555313247203995
"Natural killer T cell",0.124589213960094,0.066191039785396,0.0138963102137905,0.0555852408551621
"Neutrophil",0.083829267555795,0.0104058404397087,0.0197434231334641,0.0655240402127596
"Type 1 T helper cell",0.109986887698576,0.0787351959020367,0.0223006088637801,0.0655240402127596
"CD56dim natural killer cell",0.132876376428679,0.0912723010864431,0.0234014429331284,0.0655240402127596
"Mast cell",0.104897970414316,0.0569363229563601,0.0276339362718104,0.070340928691881
"Monocyte",0.0974234308125716,0.0589473695099953,0.0506832342830399,0.11826087999376
"Memory B cell",0.12246341101574,0.0642751991686596,0.0625760339333226,0.134779150010233
"Effector memeory CD4 T cell",0.118228345390094,0.0798875480175557,0.0813958442422328,0.162791688484466
"Activated CD8 T cell",0.107230800883462,0.0644378677902443,0.12347953487135,0.230495131759853
"Type 2 T helper cell",0.0907800587473003,0.0708981843162369,0.183906235001547,0.321835911252707
"Plasmacytoid dendritic cell",0.104046127062289,0.112652020761411,0.248459489213189,0.409227393998193
"Immature  B cell",0.0734577560062636,0.0570877712574526,0.365038033809311,0.545838243704264
"T follicular helper cell",0.102832217897902,0.0873578622936384,0.379824917887146,0.545838243704264
"Effector memeory CD8 T cell",0.0752204762535182,0.0652731338070795,0.38988445978876,0.545838243704264
"CD56bright natural killer cell",0.0955749848045336,0.0896690087259029,0.603360137689675,0.767912902514132
"Type 17 T helper cell",0.0831093673910688,0.0858207643152325,0.603360137689675,0.767912902514132
"Regulatory T cell",0.0838861169353955,0.0966577290154231,0.689137052930019,0.823888148519351
"Gamma delta T cell",0.0409039545191327,0.0425330632167009,0.716423826629237,0.823888148519351
"Activated dendritic cell",0.0630306680996636,0.0645938367840863,0.737131528171188,0.823888148519351
"Activated CD4 T cell",0.0431496254078192,0.0263323852983238,0.765038995053684,0.823888148519351
"Immature dendritic cell",0.11249479529145,0.119751013905275,0.843268670707977,0.874500843697161
"Central memory CD4 T cell",0.13927931411128,0.139311259754988,0.996331335807757,0.996331335807757
