celltype,IgAN,control,p,padj
Activated B cell,0.07181181301245097,-0.0717426283638097,0.0003790474788520633,0.0053066647039288865
Activated CD4 T cell,0.043149625407819255,0.02633238529832384,0.7650389950536834,0.8238881485193513
Activated CD8 T cell,0.10723080088346211,0.06443786779024425,0.12347953487134991,0.23049513175985317
Activated dendritic cell,0.06303066809966358,0.06459383678408626,0.7371315281711881,0.8238881485193513
CD56bright natural killer cell,0.09557498480453355,0.08966900872590289,0.6033601376896751,0.767912902514132
CD56dim natural killer cell,0.13287637642867903,0.09127230108644312,0.02340144293312844,0.06552404021275963
Central memory CD4 T cell,0.13927931411128047,0.1393112597549879,0.9963313358077575,0.9963313358077575
Central memory CD8 T cell,0.15423375313530494,0.057239265497697873,2.2879337214817348e-05,0.0006406214420148858
Effector memeory CD4 T cell,0.11822834539009439,0.07988754801755567,0.0813958442422327,0.1627916884844654
Effector memeory CD8 T cell,0.07522047625351821,0.06527313380707946,0.38988445978875996,0.5458382437042639
Eosinophil,0.03563225542248798,0.09642941503342037,0.004823703939257901,0.03376592757480531
Gamma delta T cell,0.04090395451913275,0.04253306321670093,0.7164238266292365,0.8238881485193513
Immature  B cell,0.07345775600626364,0.05708777125745255,0.3650380338093113,0.5458382437042639
Immature dendritic cell,0.11249479529145037,0.1197510139052747,0.8432686707079766,0.874500843697161
MDSC,0.15295010038207946,0.07438970873327284,0.004298792975965247,0.03376592757480531
Macrophage,0.08870322222684258,0.03710026183486769,0.011899569582942743,0.05553132472039947
Mast cell,0.10489797041431623,0.056936322956360134,0.027633936271810385,0.07034092869188098
Memory B cell,0.12246341101574035,0.06427519916865966,0.06257603393332264,0.13477915001023338
Monocyte,0.0974234308125716,0.058947369509995344,0.050683234283039884,0.11826087999375974
Natural killer T cell,0.12458921396009368,0.06619103978539599,0.013896310213790512,0.055585240855162046
Natural killer cell,0.15496913571315632,0.12176714272660885,0.01100006643270707,0.05553132472039947
Neutrophil,0.08382926755579499,0.010405840439708706,0.019743423133464052,0.06552404021275963
Plasmacytoid dendritic cell,0.10404612706228912,0.11265202076141147,0.2484594892131884,0.4092273939981927
Regulatory T cell,0.08388611693539545,0.0966577290154231,0.6891370529300194,0.8238881485193513
T follicular helper cell,0.10283221789790248,0.08735786229363844,0.3798249178871459,0.5458382437042639
Type 1 T helper cell,0.10998688769857615,0.07873519590203666,0.02230060886378006,0.06552404021275963
Type 17 T helper cell,0.08310936739106886,0.08582076431523249,0.6033601376896751,0.767912902514132
Type 2 T helper cell,0.09078005874730036,0.07089818431623693,0.18390623500154712,0.3218359112527075
