fov,MRG,ECM,n
1,0.08984278870145246,0.18160758266031973,1447
2,0.04380197141874059,0.052159836421222745,1482
3,0.05618287553638231,-0.0001598707004778778,1148
4,0.08544827252148514,-0.03147743603275857,1018
5,0.04222057501859147,-0.06473384723854196,1142
6,0.11276901577473106,-0.08499755232535222,994
7,0.08351291414001077,-0.07673018717304952,1041
8,-0.02644194806411166,-0.008759159132606237,1434
9,0.07687009299209571,0.2258733623601163,1912
10,0.10232396657544597,0.12333996557354387,1276
11,0.07528316030067989,-0.05655991633096959,1137
12,0.08894035735194843,-0.05091143724859156,1070
13,0.09468858652713408,-0.07433986797446662,996
14,0.09944996397037698,-0.07019909810736984,918
15,0.08080107779131454,0.3372989373143028,1677
16,0.10131751603552767,0.4109747501910664,1900
17,0.08781869374540566,0.052209633348424725,1420
18,0.06528984080147568,-0.03437989207731071,1185
19,0.09465337278394738,-0.09211072007809375,889
20,0.12694000571339184,-0.0663474181987411,850
21,0.0778354229446897,-0.08866907346984061,1019
22,0.10822851178341125,0.4383723164525984,1647
23,0.127148517613153,0.5754232019555208,1939
24,0.123010179709385,0.017050667804526586,1083
25,0.05583595289160646,-0.08259540620750089,1009
26,0.09728332798808116,-0.06493601437951275,961
27,0.08326371647332553,-0.020560182717874353,1209
28,0.07153336778303422,-0.027843218996058353,1014
29,0.09569717144874343,0.28704267754446566,1630
30,0.07941814259768039,0.34508521214956467,2126
31,0.13026944824996622,-0.01082116370715197,1188
32,0.09843279552954919,-0.05831606720319996,957
33,0.07322311679689514,0.030827202856876734,995
34,0.10419284020296385,-0.016708570419895312,1249
35,0.06609965460554405,-0.11003962373116358,1052
36,0.06650156113624783,-0.009061044814865107,2170
37,0.11872439665317933,0.32731992076393085,1959
38,0.13199600148643148,0.2312562535192173,1690
39,0.1178911072428242,-0.030062664201200115,987
40,0.06416564788623863,0.06210921969616578,822
41,0.10384114080486363,-0.061737165770039806,1112
42,0.061357837790715346,0.022972927583051056,1133
43,0.10633983396527984,0.11962119128128706,1618
44,0.17626291768183486,0.43065391821824933,2021
45,0.11446926957953396,0.2577041531423794,1833
46,0.13638393397529663,-0.011559345613418823,1273
47,0.04616611171787666,0.1503215495050881,910
48,0.10296650641894958,0.019076488802311845,1122
49,0.07119700349939427,0.040371700932872207,1116
50,0.10530423839185976,0.12555574891955715,1709
51,0.09392507822269856,0.41886314423429055,2239
52,0.10342942920754304,0.23993905924488793,1947
53,0.14930532111203543,0.00025944527348726665,1349
54,0.043405557943721175,0.14502009162651355,1444
55,0.15862928208746935,0.004976612260494079,1267
56,0.11450706380369399,0.003487990427064128,1307
57,0.05633621024441464,0.02662013464898635,1457
58,0.011472453171486879,0.024407438492504815,1680
59,-0.005519657512765547,0.03702654759612055,1992
60,-0.01112298954022608,-0.030592249999792466,1379
61,0.031904526491793025,-0.08276291624177062,1303
62,0.09139768114329454,0.1182593083412744,1875
63,0.012594126285059952,0.025558709624835595,1880
64,0.049812478482424816,0.18193973319124107,2183
65,0.028733098359244372,0.22358772213376385,1657
66,0.03747329725034279,0.0035452270287172176,1114
67,0.07541496080035877,0.1679487759982527,326
68,0.06381994762909368,0.0813615822309837,2076
69,0.09112749718199187,0.32673474192588886,1369
70,0.06615940423555793,0.5013787481379532,1331
71,0.042464613282733724,0.2722203833103824,2327
72,0.07149082899653562,0.19093160042074223,1161
73,0.08897851429901352,0.1945753485415588,721
74,0.042796443127637356,0.15111813990041512,2444
75,0.05215648637285941,0.2819313635174097,2012
76,0.03408722453681989,0.1695483348327513,1809
77,0.04966236502934275,0.22099709070648715,2465
78,0.06929816156002035,0.12989931268227067,1487
79,0.10053604679560073,0.11761963594689644,851
80,0.035530853492805034,0.1462521878196551,2114
81,0.075203433267466,0.2680682073243275,2127
82,0.03900485314505857,0.1608275768514188,1869
83,0.05517136788596564,0.1750395051917354,2336
84,0.03722489537328488,0.007039490741755752,1320
85,0.0627630803756496,0.10636912329003936,1938
86,0.0422865322519357,0.1978058525476468,2987
87,0.05963528513332731,0.20227021272940918,2054
88,0.06302924341177978,0.26011616959689815,2163
89,0.04906302791967905,0.18282129438685313,2816
90,0.06291522645393308,0.096095820373818,2230
91,0.013700757113398085,0.056431624469884735,3148
92,0.0076610899495005765,0.05816889581879266,3826
93,-0.0020045610344966757,0.22974643532649594,3372
94,0.024494284226903865,0.11755326359679531,3803
95,0.013865480930738522,0.07997453154617673,3848
96,0.06009885713275567,0.07852806255731237,2743
97,-0.017076469795352416,0.08390500650846566,824
98,-0.0032645706481770915,0.04036413213407208,1901
99,-0.08127900197355617,-0.06639584085465158,1617
100,-0.010309548483211329,0.017421565679232136,1649
101,-0.0221743717670792,0.0021566645897075727,2499
102,-0.035437781189682216,-0.07623734107485751,2228
103,-0.06780421891388161,-0.042716965743498606,1500
104,0.0042189608361161155,0.0908655796350572,1563
105,-0.03864943745857983,-0.04407257597040293,2423
106,-0.053375976955274865,-0.04393092336397444,2356
107,-0.029969292528571865,-0.0395516256382392,1927
108,-0.036980724777720075,0.04266862926805297,1874
109,-0.04858934574356467,-0.06298963987802209,2273
110,-0.041688137239203824,-0.04216722179698852,2555
111,-0.010883420583378682,0.08474385950782903,1135
112,-0.05484308104939429,-0.03370773759201154,1397
113,-0.05899487587835244,-0.021740096871221446,2333
114,-0.07412509951099615,-0.07222977023250458,2754
115,0.0050816816937017395,0.12748382211565606,875
116,-0.02927194941588776,-0.10760621561146791,2558
117,-0.07488232589202343,-0.10058319549942689,2120
118,-0.03312093804060677,-0.019643252383019203,2148
119,-0.03646706751445476,-0.05566225195133328,1878
120,-0.05777288210490217,-0.08077666094422549,1830
121,-0.01642283980755165,-0.09109155500199975,2315
