"sample","day","score"
"normal_1",0,-0.767717230042612
"normal_2",0,-0.757622775071244
"normal_3",0,-0.776383567895663
"day3_4",3,0.0675642935512553
"day3_5",3,-0.026234599814495
"day3_6",3,-0.530607661308241
"day3_7",3,-0.611133896728786
"day7_10",7,0.0284541196024156
"day7_11",7,0.105633423452391
"day7_8",7,0.157486352273316
"day7_9",7,0.405858421012122
"day14_12",14,0.848382288487391
"day14_13",14,0.721444845941302
"day14_14",14,0.963028955535681
"day14_15",14,0.171847031005168
