category,GO_term,gene
CF,Microtubule,ABRAXAS2
CF,Microtubule,AKNA
CF,Microtubule,APC
CF,Microtubule,APC2
CF,Microtubule,APPBP2
CF,Microtubule,ARFGEF2
CF,Microtubule,ARHGAP18
CF,Microtubule,ARHGAP4
CF,Microtubule,ARHGEF2
CF,Microtubule,ARL3
CF,Microtubule,ARL6
CF,Microtubule,ASPM
CF,Microtubule,ATAT1
CF,Microtubule,AURKA
CF,Microtubule,AURKB
CF,Microtubule,AURKC
CF,Microtubule,BAG2
CF,Microtubule,BAIAP2
CF,Microtubule,BBLN
CF,Microtubule,BCAS3
CF,Microtubule,BCL10
CF,Microtubule,BEX4
CF,Microtubule,BICD1
CF,Microtubule,BIRC5
CF,Microtubule,BOD1
CF,Microtubule,CALM1
CF,Microtubule,CALM2
CF,Microtubule,CALM3
CF,Microtubule,CAMSAP1
CF,Microtubule,CAMSAP2
CF,Microtubule,CAMSAP3
CF,Microtubule,CAPN6
CF,Microtubule,CASP1
CF,Microtubule,CCDC181
CF,Microtubule,CCDC57
CF,Microtubule,CCDC66
CF,Microtubule,CCSAP
CF,Microtubule,CCT2
CF,Microtubule,CCT3
CF,Microtubule,CCT4
CF,Microtubule,CCT5
CF,Microtubule,CCT6A
CF,Microtubule,CCT7
CF,Microtubule,CCT8
CF,Microtubule,CDK1
CF,Microtubule,CDK2AP2
CF,Microtubule,CDK5
CF,Microtubule,CDK5RAP2
CF,Microtubule,CDK5RAP3
CF,Microtubule,CENPE
CF,Microtubule,CENPJ
CF,Microtubule,CEP162
CF,Microtubule,CEP170
CF,Microtubule,CEP170B
CF,Microtubule,CEP295
CF,Microtubule,CEP57
CF,Microtubule,CEP57L1
CF,Microtubule,CFAP107
CF,Microtubule,CFAP126
CF,Microtubule,CFAP141
CF,Microtubule,CFAP144
CF,Microtubule,CFAP161
CF,Microtubule,CFAP20
CF,Microtubule,CFAP206
CF,Microtubule,CFAP210
CF,Microtubule,CFAP276
CF,Microtubule,CFAP45
CF,Microtubule,CFAP52
CF,Microtubule,CFAP53
CF,Microtubule,CFAP77
CF,Microtubule,CFAP95
CF,Microtubule,CFAP96
CF,Microtubule,CHMP1A
CF,Microtubule,CHMP1B
CF,Microtubule,CHMP2A
CF,Microtubule,CHMP2B
CF,Microtubule,CHMP3
CF,Microtubule,CHMP4A
CF,Microtubule,CHMP4B
CF,Microtubule,CHMP4BP1
CF,Microtubule,CHMP4C
CF,Microtubule,CHMP5
CF,Microtubule,CHMP6
CF,Microtubule,CHMP7
CF,Microtubule,CIMAP1D
CF,Microtubule,CIMIP2B
CF,Microtubule,CIMIP2C
CF,Microtubule,CKAP2
CF,Microtubule,CKAP5
CF,Microtubule,CLASP1
CF,Microtubule,CLASP2
CF,Microtubule,CLIP1
CF,Microtubule,CLIP2
CF,Microtubule,CLIP3
CF,Microtubule,CLIP4
CF,Microtubule,CLMP
CF,Microtubule,CLTC
CF,Microtubule,CRHBP
CF,Microtubule,CSNK1D
CF,Microtubule,CSPP1
CF,Microtubule,CSTPP1
CF,Microtubule,CUL3
CF,Microtubule,CYLD
CF,Microtubule,CYP2A6
CF,Microtubule,DCDC1
CF,Microtubule,DCDC2
CF,Microtubule,DCDC2B
CF,Microtubule,DCDC2C
CF,Microtubule,DCTN1
CF,Microtubule,DCTN2
CF,Microtubule,DCX
CF,Microtubule,DCXR
CF,Microtubule,DISC1
CF,Microtubule,DLG1
CF,Microtubule,DNAH1
CF,Microtubule,DNAH10
CF,Microtubule,DNAH11
CF,Microtubule,DNAH12
CF,Microtubule,DNAH14
CF,Microtubule,DNAH17
CF,Microtubule,DNAH2
CF,Microtubule,DNAH3
CF,Microtubule,DNAH5
CF,Microtubule,DNAH6
CF,Microtubule,DNAH7
CF,Microtubule,DNAH8
CF,Microtubule,DNAH9
CF,Microtubule,DNAI1
CF,Microtubule,DNAI2
CF,Microtubule,DNAL1
CF,Microtubule,DNAL4
CF,Microtubule,DNM1
CF,Microtubule,DNM1L
CF,Microtubule,DNM2
CF,Microtubule,DNM3
CF,Microtubule,DPP9
CF,Microtubule,DPYSL2
CF,Microtubule,DST
CF,Microtubule,DVL1
CF,Microtubule,DYNC1H1
CF,Microtubule,DYNC1I1
CF,Microtubule,DYNC1I2
CF,Microtubule,DYNC1LI1
CF,Microtubule,DYNC1LI2
CF,Microtubule,DYNC2H1
CF,Microtubule,DYNC2LI1
CF,Microtubule,DYNLL1
CF,Microtubule,DYNLL2
CF,Microtubule,DYNLRB1
CF,Microtubule,DYNLRB2
CF,Microtubule,DYNLT1
CF,Microtubule,DYNLT2
CF,Microtubule,DYNLT3
CF,Microtubule,EFHB
CF,Microtubule,EFHC1
CF,Microtubule,EFHC2
CF,Microtubule,EMD
CF,Microtubule,EML1
CF,Microtubule,EML2
CF,Microtubule,EML3
CF,Microtubule,EML4
CF,Microtubule,EML5
CF,Microtubule,EML6
CF,Microtubule,ENKD1
CF,Microtubule,ENKUR
CF,Microtubule,FAM110A
CF,Microtubule,FAM110C
CF,Microtubule,FAM161A
CF,Microtubule,FAM161B
CF,Microtubule,FBXW11
CF,Microtubule,FEZ1
CF,Microtubule,FGF13
CF,Microtubule,FHDC1
CF,Microtubule,FIGN
CF,Microtubule,FKBP4
CF,Microtubule,FSD1
CF,Microtubule,GABARAP
CF,Microtubule,GABARAPL1
CF,Microtubule,GABARAPL3
CF,Microtubule,GAS2L1
CF,Microtubule,GAS2L2
CF,Microtubule,GAS2L3
CF,Microtubule,GAS8
CF,Microtubule,GOLGA2
CF,Microtubule,GRAMD2B
CF,Microtubule,GTSE1
CF,Microtubule,HAUS1
CF,Microtubule,HAUS2
CF,Microtubule,HAUS3
CF,Microtubule,HAUS4
CF,Microtubule,HAUS5
CF,Microtubule,HAUS6
CF,Microtubule,HAUS7
CF,Microtubule,HAUS8
CF,Microtubule,HDAC6
CF,Microtubule,HID1
CF,Microtubule,HNRNPU
CF,Microtubule,HOOK1
CF,Microtubule,HOOK2
CF,Microtubule,HOOK3
CF,Microtubule,HSPH1
CF,Microtubule,IFT70A
CF,Microtubule,IFT70B
CF,Microtubule,INCENP
CF,Microtubule,INO80
CF,Microtubule,INVS
CF,Microtubule,IQGAP1
CF,Microtubule,JAKMIP1
CF,Microtubule,KATNA1
CF,Microtubule,KATNAL1
CF,Microtubule,KATNAL2
CF,Microtubule,KATNB1
CF,Microtubule,KCNAB2
CF,Microtubule,KIF11
CF,Microtubule,KIF12
CF,Microtubule,KIF13A
CF,Microtubule,KIF13B
CF,Microtubule,KIF14
CF,Microtubule,KIF15
CF,Microtubule,KIF16B
CF,Microtubule,KIF17
CF,Microtubule,KIF18A
CF,Microtubule,KIF18B
CF,Microtubule,KIF19
CF,Microtubule,KIF1A
CF,Microtubule,KIF1B
CF,Microtubule,KIF1C
CF,Microtubule,KIF20A
CF,Microtubule,KIF20B
CF,Microtubule,KIF21A
CF,Microtubule,KIF21B
CF,Microtubule,KIF22
CF,Microtubule,KIF23
CF,Microtubule,KIF24
CF,Microtubule,KIF25
CF,Microtubule,KIF26A
CF,Microtubule,KIF26B
CF,Microtubule,KIF27
CF,Microtubule,KIF28P
CF,Microtubule,KIF2A
CF,Microtubule,KIF2B
CF,Microtubule,KIF2C
CF,Microtubule,KIF3A
CF,Microtubule,KIF3B
CF,Microtubule,KIF3C
CF,Microtubule,KIF4A
CF,Microtubule,KIF4B
CF,Microtubule,KIF5A
CF,Microtubule,KIF5B
CF,Microtubule,KIF5C
CF,Microtubule,KIF6
CF,Microtubule,KIF7
CF,Microtubule,KIF9
CF,Microtubule,KIFAP3
CF,Microtubule,KIFC1
CF,Microtubule,KIFC2
CF,Microtubule,KIFC3
CF,Microtubule,KLC1
CF,Microtubule,KLC2
CF,Microtubule,KLC3
CF,Microtubule,KLC4
CF,Microtubule,KLHL21
CF,Microtubule,KLHL22
CF,Microtubule,KNSTRN
CF,Microtubule,KNTC1
CF,Microtubule,LRPPRC
CF,Microtubule,LRRC49
CF,Microtubule,LZTS2
CF,Microtubule,MACF1
CF,Microtubule,MAP10
CF,Microtubule,MAP1A
CF,Microtubule,MAP1B
CF,Microtubule,MAP1LC3A
CF,Microtubule,MAP1LC3B
CF,Microtubule,MAP1LC3B2
CF,Microtubule,MAP1LC3C
CF,Microtubule,MAP1S
CF,Microtubule,MAP2
CF,Microtubule,MAP2K2
CF,Microtubule,MAP3K11
CF,Microtubule,MAP4
CF,Microtubule,MAP6
CF,Microtubule,MAP6D1
CF,Microtubule,MAP7
CF,Microtubule,MAP9
CF,Microtubule,MAPRE1
CF,Microtubule,MAPRE2
CF,Microtubule,MAPRE3
CF,Microtubule,MAPT
CF,Microtubule,MATCAP1
CF,Microtubule,MDM1
CF,Microtubule,MEFV
CF,Microtubule,MID1
CF,Microtubule,MID1IP1
CF,Microtubule,MID2
CF,Microtubule,MISP
CF,Microtubule,MNS1
CF,Microtubule,MT3
CF,Microtubule,MTA1
CF,Microtubule,MTCL1
CF,Microtubule,MTCL2
