category,GO_term,gene
MM,Extracellular matrix disassembly,ADAM10
MM,Extracellular matrix disassembly,ADAM15
MM,Extracellular matrix disassembly,ADAM8
MM,Extracellular matrix disassembly,ADAMTS15
MM,Extracellular matrix disassembly,ADAMTS4
MM,Extracellular matrix disassembly,ADAMTS5
MM,Extracellular matrix disassembly,CARMIL2
MM,Extracellular matrix disassembly,CLASP1
MM,Extracellular matrix disassembly,CLASP2
MM,Extracellular matrix disassembly,CMA1
MM,Extracellular matrix disassembly,CST3
MM,Extracellular matrix disassembly,CTSG
MM,Extracellular matrix disassembly,CTSK
MM,Extracellular matrix disassembly,CTSS
MM,Extracellular matrix disassembly,CTSV
MM,Extracellular matrix disassembly,DDR1
MM,Extracellular matrix disassembly,DDR2
MM,Extracellular matrix disassembly,DPP4
MM,Extracellular matrix disassembly,ELANE
MM,Extracellular matrix disassembly,EXOC8
MM,Extracellular matrix disassembly,FAP
MM,Extracellular matrix disassembly,FGFR4
MM,Extracellular matrix disassembly,FLOT1
MM,Extracellular matrix disassembly,FSCN1
MM,Extracellular matrix disassembly,FURIN
MM,Extracellular matrix disassembly,HPN
MM,Extracellular matrix disassembly,IL6
MM,Extracellular matrix disassembly,KIF9
MM,Extracellular matrix disassembly,KLK4
MM,Extracellular matrix disassembly,KLK5
MM,Extracellular matrix disassembly,KLK7
MM,Extracellular matrix disassembly,LAMC1
MM,Extracellular matrix disassembly,LCP1
MM,Extracellular matrix disassembly,LRP1
MM,Extracellular matrix disassembly,MELTF
MM,Extracellular matrix disassembly,MIR195
MM,Extracellular matrix disassembly,MIR29B1
MM,Extracellular matrix disassembly,MIR98
MM,Extracellular matrix disassembly,MMP1
MM,Extracellular matrix disassembly,MMP10
MM,Extracellular matrix disassembly,MMP11
MM,Extracellular matrix disassembly,MMP12
MM,Extracellular matrix disassembly,MMP13
MM,Extracellular matrix disassembly,MMP14
MM,Extracellular matrix disassembly,MMP15
MM,Extracellular matrix disassembly,MMP19
MM,Extracellular matrix disassembly,MMP2
MM,Extracellular matrix disassembly,MMP20
MM,Extracellular matrix disassembly,MMP3
MM,Extracellular matrix disassembly,MMP7
MM,Extracellular matrix disassembly,MMP8
MM,Extracellular matrix disassembly,MMP9
MM,Extracellular matrix disassembly,NOXO1
MM,Extracellular matrix disassembly,PBXIP1
MM,Extracellular matrix disassembly,PDPN
MM,Extracellular matrix disassembly,PLG
MM,Extracellular matrix disassembly,PRSS1
MM,Extracellular matrix disassembly,PRSS2
MM,Extracellular matrix disassembly,SH3PXD2B
MM,Extracellular matrix disassembly,TGFB1
MM,Extracellular matrix disassembly,TMPRSS6
MM,Extracellular matrix disassembly,TPSAB1
MM,Extracellular matrix disassembly,WASHC1
MM,Extracellular matrix disassembly,WDR72
MM,Extracellular matrix organization,ABI3BP
MM,Extracellular matrix organization,ABL1
MM,Extracellular matrix organization,ADAM10
MM,Extracellular matrix organization,ADAM15
MM,Extracellular matrix organization,ADAM8
MM,Extracellular matrix organization,ADAMTS1
MM,Extracellular matrix organization,ADAMTS10
MM,Extracellular matrix organization,ADAMTS12
MM,Extracellular matrix organization,ADAMTS13
MM,Extracellular matrix organization,ADAMTS14
MM,Extracellular matrix organization,ADAMTS15
MM,Extracellular matrix organization,ADAMTS16
MM,Extracellular matrix organization,ADAMTS17
MM,Extracellular matrix organization,ADAMTS18
MM,Extracellular matrix organization,ADAMTS19
MM,Extracellular matrix organization,ADAMTS2
MM,Extracellular matrix organization,ADAMTS20
MM,Extracellular matrix organization,ADAMTS3
MM,Extracellular matrix organization,ADAMTS4
MM,Extracellular matrix organization,ADAMTS5
MM,Extracellular matrix organization,ADAMTS6
